step,lr,e_loss,f_loss,f_rmse,pref_f
100,7.079e-04,147061,4.70582,2.1693,951
200,5.012e-04,25189.8,1.07684,1.0377,902
300,3.548e-04,13016.5,1.36132,1.1668,853
400,2.512e-04,387.42,0.90039,0.9489,804
500,1.778e-04,150.576,4.19859,2.0490,755
600,1.259e-04,57.7828,1.61142,1.2694,706
700,8.913e-05,80.2995,1.29993,1.1401,657
800,6.310e-05,119.777,1.06703,1.0330,608
900,4.467e-05,9.84858,0.535338,0.7317,559
1000,3.162e-05,22.5225,0.569546,0.7547,510
1100,2.239e-05,113.855,0.456678,0.6758,461
1200,1.585e-05,9.43432,0.732474,0.8558,412
1300,1.122e-05,7.85327,0.703285,0.8386,363
1400,7.943e-06,25.6876,2.31409,1.5212,314
1500,5.623e-06,21.3494,0.679951,0.8246,265
1600,3.981e-06,2.96818,1.66455,1.2902,216
1700,2.818e-06,4.07259,0.538193,0.7336,167
1800,1.995e-06,3.35276e-08,0.470024,0.6856,118
1900,1.413e-06,150.972,0.858577,0.9266,69
2000,1.000e-06,30.6265,0.398799,0.6315,20
