Step      1 | lr=9.998e-05 | loss=87612.9 | e_loss=875334 | f_loss=0.71601 | f_rmse=0.8462 | pref_e=0.1 pref_f=100 | diff=0.000e+00
Step      2 | lr=9.995e-05 | loss=84643.3 | e_loss=841120 | f_loss=5.16176 | f_rmse=2.2720 | pref_e=0.1 pref_f=100 | diff=0.000e+00
Step      3 | lr=9.993e-05 | loss=87557.3 | e_loss=874563 | f_loss=0.773716 | f_rmse=0.8796 | pref_e=0.1 pref_f=100 | diff=0.000e+00
Step      4 | lr=9.991e-05 | loss=86576.4 | e_loss=861448 | f_loss=4.00631 | f_rmse=2.0016 | pref_e=0.1 pref_f=100 | diff=0.000e+00
Step      5 | lr=9.988e-05 | loss=86927.4 | e_loss=868139 | f_loss=0.744411 | f_rmse=0.8628 | pref_e=0.1 pref_f=100 | diff=0.000e+00
Step      6 | lr=9.986e-05 | loss=86267.1 | e_loss=861713 | f_loss=0.492844 | f_rmse=0.7020 | pref_e=0.1001 pref_f=100 | diff=0.000e+00
Step      7 | lr=9.984e-05 | loss=85202.8 | e_loss=849726 | f_loss=1.76751 | f_rmse=1.3295 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step      8 | lr=9.982e-05 | loss=86956.3 | e_loss=867922 | f_loss=1.01625 | f_rmse=1.0081 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step      9 | lr=9.979e-05 | loss=83175.2 | e_loss=825648 | f_loss=5.43611 | f_rmse=2.3315 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step     10 | lr=9.977e-05 | loss=85670.4 | e_loss=855164 | f_loss=0.770487 | f_rmse=0.8778 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step     11 | lr=9.975e-05 | loss=85985.5 | e_loss=858442 | f_loss=0.562609 | f_rmse=0.7501 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step     12 | lr=9.972e-05 | loss=85836.6 | e_loss=856832 | f_loss=0.609182 | f_rmse=0.7805 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step     13 | lr=9.970e-05 | loss=85356.6 | e_loss=852061 | f_loss=0.508615 | f_rmse=0.7132 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step     14 | lr=9.968e-05 | loss=84284.6 | e_loss=841090 | f_loss=0.695839 | f_rmse=0.8342 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step     15 | lr=9.966e-05 | loss=85200.6 | e_loss=849849 | f_loss=1.00986 | f_rmse=1.0049 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step     16 | lr=9.963e-05 | loss=84895.9 | e_loss=846673 | f_loss=1.06741 | f_rmse=1.0332 | pref_e=0.1001 pref_f=99.99 | diff=0.000e+00
Step     17 | lr=9.961e-05 | loss=83537.8 | e_loss=833379 | f_loss=0.724064 | f_rmse=0.8509 | pref_e=0.1002 pref_f=99.99 | diff=0.000e+00
Step     18 | lr=9.959e-05 | loss=82949.8 | e_loss=823997 | f_loss=4.16749 | f_rmse=2.0414 | pref_e=0.1002 pref_f=99.99 | diff=0.000e+00
Step     19 | lr=9.956e-05 | loss=81922.6 | e_loss=813898 | f_loss=3.93679 | f_rmse=1.9841 | pref_e=0.1002 pref_f=99.98 | diff=0.000e+00
Step     20 | lr=9.954e-05 | loss=81070.7 | e_loss=803710 | f_loss=5.55101 | f_rmse=2.3561 | pref_e=0.1002 pref_f=99.98 | diff=0.000e+00
Step     21 | lr=9.952e-05 | loss=81395 | e_loss=810312 | f_loss=2.1065 | f_rmse=1.4514 | pref_e=0.1002 pref_f=99.98 | diff=0.000e+00
Step     22 | lr=9.949e-05 | loss=82657.4 | e_loss=824444 | f_loss=0.497838 | f_rmse=0.7056 | pref_e=0.1002 pref_f=99.98 | diff=0.000e+00
Step     23 | lr=9.947e-05 | loss=82508.6 | e_loss=822504 | f_loss=0.879895 | f_rmse=0.9380 | pref_e=0.1002 pref_f=99.98 | diff=0.000e+00
Step     24 | lr=9.945e-05 | loss=82136.3 | e_loss=815593 | f_loss=4.00885 | f_rmse=2.0022 | pref_e=0.1002 pref_f=99.98 | diff=0.000e+00
Step     25 | lr=9.943e-05 | loss=80389.6 | e_loss=800579 | f_loss=1.51526 | f_rmse=1.2310 | pref_e=0.1002 pref_f=99.98 | diff=0.000e+00
Step     26 | lr=9.940e-05 | loss=81705.6 | e_loss=814462 | f_loss=0.688945 | f_rmse=0.8300 | pref_e=0.1002 pref_f=99.98 | diff=0.000e+00
Step     27 | lr=9.938e-05 | loss=82120.8 | e_loss=818464 | f_loss=0.755801 | f_rmse=0.8694 | pref_e=0.1002 pref_f=99.98 | diff=0.000e+00
Step     28 | lr=9.936e-05 | loss=82272.9 | e_loss=820188 | f_loss=0.475051 | f_rmse=0.6892 | pref_e=0.1003 pref_f=99.98 | diff=0.000e+00
Step     29 | lr=9.933e-05 | loss=80587.1 | e_loss=803184 | f_loss=0.590958 | f_rmse=0.7687 | pref_e=0.1003 pref_f=99.98 | diff=0.000e+00
Step     30 | lr=9.931e-05 | loss=80328.3 | e_loss=800511 | f_loss=0.610287 | f_rmse=0.7812 | pref_e=0.1003 pref_f=99.98 | diff=0.000e+00
Step     31 | lr=9.929e-05 | loss=80318.9 | e_loss=800110 | f_loss=0.847097 | f_rmse=0.9204 | pref_e=0.1003 pref_f=99.98 | diff=0.000e+00
Step     32 | lr=9.927e-05 | loss=77921.2 | e_loss=772019 | f_loss=4.9709 | f_rmse=2.2296 | pref_e=0.1003 pref_f=99.97 | diff=0.000e+00
Step     33 | lr=9.924e-05 | loss=79551.8 | e_loss=792288 | f_loss=0.877616 | f_rmse=0.9368 | pref_e=0.1003 pref_f=99.97 | diff=0.000e+00
Step     34 | lr=9.922e-05 | loss=78708.1 | e_loss=783877 | f_loss=0.806316 | f_rmse=0.8980 | pref_e=0.1003 pref_f=99.97 | diff=0.000e+00
Step     35 | lr=9.920e-05 | loss=79609.9 | e_loss=793090 | f_loss=0.510408 | f_rmse=0.7144 | pref_e=0.1003 pref_f=99.97 | diff=0.000e+00
Step     36 | lr=9.917e-05 | loss=79097.6 | e_loss=787797 | f_loss=0.627002 | f_rmse=0.7918 | pref_e=0.1003 pref_f=99.97 | diff=0.000e+00
Step     37 | lr=9.915e-05 | loss=77938.5 | e_loss=776307 | f_loss=0.492851 | f_rmse=0.7020 | pref_e=0.1003 pref_f=99.97 | diff=0.000e+00
Step     38 | lr=9.913e-05 | loss=76815.8 | e_loss=764186 | f_loss=1.35853 | f_rmse=1.1656 | pref_e=0.1003 pref_f=99.97 | diff=0.000e+00
Step     39 | lr=9.911e-05 | loss=76060.3 | e_loss=755565 | f_loss=2.38716 | f_rmse=1.5450 | pref_e=0.1004 pref_f=99.97 | diff=0.000e+00
