step,lr,loss,e_rmse,f_rmse,pref_e,pref_f
1,9.999000e-05,374.578900,4.875000,1.366400,0.000000,0.000000
2,9.999000e-05,114.362300,4.915100,0.752200,0.000000,0.000000
3,9.998000e-05,109.411400,4.917600,0.735500,0.000000,0.000000
4,9.997000e-05,339.571100,4.886200,1.300700,0.000000,0.000000
5,9.997000e-05,618.047000,4.878500,1.756200,0.000000,0.000000
100,9.931000e-05,119.512500,4.903100,0.769300,0.000000,0.000000
200,9.863000e-05,133.178200,4.504000,0.813400,0.000000,0.000000
300,9.795000e-05,110.874700,4.520000,0.741800,0.000000,0.000000
400,9.727000e-05,393.785700,4.535600,1.403300,0.000000,0.000000
500,9.661000e-05,142.236500,4.545300,0.841500,0.000000,0.000000
600,9.594000e-05,280.991300,4.699200,1.185400,0.000000,0.000000
700,9.528000e-05,100.745100,4.272000,0.707900,0.000000,0.000000
800,9.462000e-05,138.630200,4.244800,0.831900,0.000000,0.000000
900,9.397000e-05,135.955900,3.962200,0.824500,0.000000,0.000000
1000,9.333000e-05,312.746700,3.940800,1.253400,0.000000,0.000000
1100,9.268000e-05,135.502900,3.789400,0.823900,0.000000,0.000000
1200,9.204000e-05,236.881200,3.718500,1.091300,0.000000,0.000000
1300,9.141000e-05,95.633400,2.879700,0.693000,0.000000,0.000000
1400,9.078000e-05,115.986900,2.987300,0.763700,0.000000,0.000000
1500,9.016000e-05,446.524500,3.045700,1.501700,0.000000,0.000000
1600,8.954000e-05,100.050500,2.264100,0.710400,0.000000,0.000000
1700,8.892000e-05,93.821400,2.944200,0.687200,0.000000,0.000000
1800,8.831000e-05,83.028900,1.529100,0.648100,0.000000,0.000000
1900,8.770000e-05,833.127000,1.781200,2.055400,0.000000,0.000000
2000,8.710000e-05,96.650300,2.265600,0.699200,0.000000,0.000000
2100,8.650000e-05,205.581500,2.204300,1.021100,0.000000,0.000000
2200,8.590000e-05,118.325800,2.343700,0.774300,0.000000,0.000000
2300,8.531000e-05,234.990000,1.531900,1.093000,0.000000,0.000000
2400,8.472000e-05,135.886800,1.816100,0.831100,0.000000,0.000000
2500,8.414000e-05,93.905500,1.616800,0.691000,0.000000,0.000000
2600,8.356000e-05,304.186200,2.013300,1.244800,0.000000,0.000000
2700,8.299000e-05,203.139600,1.930000,1.017500,0.000000,0.000000
2800,8.241000e-05,235.911300,2.088100,1.096900,0.000000,0.000000
2900,8.185000e-05,1132.903900,2.431200,2.405900,0.000000,0.000000
3000,8.128000e-05,120.151000,2.300700,0.782600,0.000000,0.000000
3100,8.072000e-05,430.991700,0.666200,1.485300,0.000000,0.000000
3200,8.017000e-05,392.243700,0.422400,1.417500,0.000000,0.000000
3300,7.962000e-05,718.437900,0.250900,1.919200,0.000000,0.000000
3400,7.907000e-05,122.171300,1.354700,0.791200,0.000000,0.000000
3500,7.852000e-05,266.828000,2.391300,1.169500,0.000000,0.000000
3600,7.798000e-05,330.430200,1.641100,1.302600,0.000000,0.000000
3700,7.745000e-05,83.826300,1.539500,0.655800,0.000000,0.000000
3800,7.691000e-05,101.127100,2.248400,0.719900,0.000000,0.000000
3900,7.638000e-05,550.476400,2.064600,1.683300,0.000000,0.000000
4000,7.586000e-05,120.366900,1.008200,0.787400,0.000000,0.000000
4100,7.534000e-05,127.796400,2.183300,0.810600,0.000000,0.000000
4200,7.482000e-05,113.867700,2.056500,0.765400,0.000000,0.000000
4300,7.430000e-05,107.066000,2.123000,0.742300,0.000000,0.000000
4400,7.379000e-05,95.962100,2.061300,0.703000,0.000000,0.000000
4500,7.328000e-05,552.711500,1.901000,1.690700,0.000000,0.000000
4600,7.278000e-05,175.583000,1.810000,0.952700,0.000000,0.000000
4700,7.228000e-05,142.664000,2.553100,0.858000,0.000000,0.000000
4800,7.178000e-05,323.671500,1.156500,1.295400,0.000000,0.000000
4900,7.129000e-05,115.599700,1.799200,0.773600,0.000000,0.000000
5000,7.079000e-05,88.471900,1.259600,0.677300,0.000000,0.000000
5100,7.031000e-05,572.242900,2.145800,1.724100,0.000000,0.000000
5200,6.982000e-05,103.513300,1.513200,0.733100,0.000000,0.000000
5300,6.934000e-05,269.606600,1.807300,1.184100,0.000000,0.000000
5400,6.887000e-05,99.355800,1.864400,0.718300,0.000000,0.000000
5500,6.839000e-05,348.560100,0.756100,1.348100,0.000000,0.000000
5600,6.792000e-05,109.453800,0.353300,0.755800,0.000000,0.000000
5700,6.745000e-05,104.585500,1.600000,0.738200,0.000000,0.000000
5800,6.699000e-05,187.373500,1.839700,0.988700,0.000000,0.000000
5900,6.653000e-05,114.337200,2.044300,0.771900,0.000000,0.000000
6000,6.607000e-05,95.634600,1.609900,0.706600,0.000000,0.000000
6100,6.561000e-05,483.265600,1.396200,1.590900,0.000000,0.000000
6200,6.516000e-05,792.546100,1.868300,2.038100,0.000000,0.000000
6300,6.471000e-05,103.450300,2.076700,0.735100,0.000000,0.000000
6400,6.427000e-05,281.656200,2.096300,1.215200,0.000000,0.000000
6500,6.383000e-05,132.423700,1.807300,0.833100,0.000000,0.000000
6600,6.339000e-05,576.415600,2.367400,1.740400,0.000000,0.000000
6700,6.295000e-05,350.232500,1.217300,1.357500,0.000000,0.000000
6800,6.252000e-05,129.235400,2.132900,0.823500,0.000000,0.000000
6900,6.209000e-05,180.703500,2.221700,0.974600,0.000000,0.000000
7000,6.166000e-05,79.768600,2.030100,0.646800,0.000000,0.000000
7100,6.124000e-05,249.667700,2.345400,1.146800,0.000000,0.000000
7200,6.081000e-05,94.451100,1.318600,0.705800,0.000000,0.000000
7300,6.039000e-05,177.229000,1.492000,0.967500,0.000000,0.000000
7400,5.998000e-05,331.116900,2.070200,1.322900,0.000000,0.000000
7500,5.957000e-05,108.409700,2.160000,0.755900,0.000000,0.000000
7600,5.916000e-05,480.835800,1.950100,1.595900,0.000000,0.000000
7700,5.875000e-05,176.531500,2.425100,0.965900,0.000000,0.000000
7800,5.834000e-05,215.469800,1.876400,1.068600,0.000000,0.000000
7900,5.794000e-05,138.091300,2.123900,0.855000,0.000000,0.000000
8000,5.754000e-05,555.173500,1.346000,1.718100,0.000000,0.000000
8100,5.715000e-05,97.885000,1.795300,0.720300,0.000000,0.000000
8200,5.675000e-05,83.780600,2.283400,0.665400,0.000000,0.000000
8300,5.636000e-05,144.078200,2.798800,0.873400,0.000000,0.000000
8400,5.598000e-05,321.119400,1.541800,1.308400,0.000000,0.000000
8500,5.559000e-05,113.969900,1.946000,0.778500,0.000000,0.000000
8600,5.521000e-05,97.356800,2.062300,0.719300,0.000000,0.000000
8700,5.483000e-05,88.381300,1.411800,0.686500,0.000000,0.000000
8800,5.445000e-05,89.383400,1.540100,0.690500,0.000000,0.000000
8900,5.408000e-05,269.785000,1.839700,1.201200,0.000000,0.000000
9000,5.370000e-05,98.571300,1.934500,0.725100,0.000000,0.000000
9100,5.333000e-05,409.012500,0.453300,1.481500,0.000000,0.000000
9200,5.297000e-05,92.753400,1.775300,0.704100,0.000000,0.000000
9300,5.260000e-05,158.842800,2.039100,0.922300,0.000000,0.000000
9400,5.224000e-05,421.595000,1.404200,1.505500,0.000000,0.000000
9500,5.188000e-05,344.330400,1.424400,1.361000,0.000000,0.000000
9600,5.152000e-05,192.263000,1.050600,1.017400,0.000000,0.000000
9700,5.117000e-05,188.599900,2.034900,1.006900,0.000000,0.000000
9800,5.082000e-05,84.118300,2.010500,0.671400,0.000000,0.000000
9900,5.047000e-05,82.389900,1.721500,0.665300,0.000000,0.000000
10000,5.012000e-05,103.625300,1.303000,0.747500,0.000000,0.000000
10100,4.977000e-05,341.132700,2.116500,1.357200,0.000000,0.000000
10200,4.943000e-05,79.517200,0.389100,0.656000,0.000000,0.000000
10300,4.909000e-05,88.275000,1.778000,0.689800,0.000000,0.000000
10400,4.875000e-05,72.207000,0.990300,0.625100,0.000000,0.000000
10500,4.842000e-05,169.895400,1.187300,0.959700,0.000000,0.000000
10600,4.808000e-05,366.628800,0.958600,1.410900,0.000000,0.000000
10700,4.775000e-05,157.863300,0.904900,0.926000,0.000000,0.000000
10800,4.742000e-05,76.097800,0.957700,0.642900,0.000000,0.000000
10900,4.710000e-05,88.648700,0.908200,0.694300,0.000000,0.000000
11000,4.677000e-05,328.319500,0.477000,1.337500,0.000000,0.000000
11100,4.645000e-05,95.626000,1.173100,0.721400,0.000000,0.000000
11200,4.613000e-05,438.807700,1.117600,1.547300,0.000000,0.000000
11300,4.581000e-05,102.791200,1.192400,0.748500,0.000000,0.000000
11400,4.550000e-05,219.910800,0.589900,1.096400,0.000000,0.000000
11500,4.519000e-05,172.471300,0.945700,0.971100,0.000000,0.000000
11600,4.487000e-05,167.015200,1.290800,0.955600,0.000000,0.000000
11700,4.457000e-05,158.173500,1.796700,0.929600,0.000000,0.000000
11800,4.426000e-05,93.669600,0.400100,0.716700,0.000000,0.000000
11900,4.395000e-05,74.645500,0.636800,0.639900,0.000000,0.000000
12000,4.365000e-05,82.943000,0.856700,0.674600,0.000000,0.000000
12100,4.335000e-05,67.579300,0.198500,0.609600,0.000000,0.000000
12200,4.305000e-05,76.405500,0.776100,0.648000,0.000000,0.000000
12300,4.276000e-05,419.013500,0.331800,1.519200,0.000000,0.000000
12400,4.246000e-05,91.001500,0.047600,0.708300,0.000000,0.000000
12500,4.217000e-05,1137.377900,0.835900,2.504900,0.000000,0.000000
12600,4.188000e-05,94.471200,1.617100,0.720600,0.000000,0.000000
12700,4.159000e-05,74.263600,1.632700,0.638700,0.000000,0.000000
12800,4.130000e-05,296.419200,0.435600,1.280400,0.000000,0.000000
12900,4.102000e-05,75.502000,0.975300,0.645800,0.000000,0.000000
13000,4.074000e-05,400.724200,0.336600,1.490000,0.000000,0.000000
13100,4.046000e-05,92.468200,0.176300,0.716000,0.000000,0.000000
13200,4.018000e-05,86.191400,0.152800,0.691600,0.000000,0.000000
13300,3.990000e-05,344.604500,0.185900,1.383400,0.000000,0.000000
13400,3.963000e-05,106.577000,2.065000,0.767000,0.000000,0.000000
13500,3.936000e-05,92.378500,1.655100,0.715000,0.000000,0.000000
13600,3.908000e-05,5057.114300,0.954000,5.306300,0.000000,0.000000
13700,3.882000e-05,84.567900,0.052700,0.686500,0.000000,0.000000
13800,3.855000e-05,80.024900,0.786300,0.667600,0.000000,0.000000
13900,3.828000e-05,76.253200,0.708300,0.652000,0.000000,0.000000
14000,3.802000e-05,68.705000,1.065400,0.618600,0.000000,0.000000
14100,3.776000e-05,341.509800,1.052500,1.381400,0.000000,0.000000
14200,3.750000e-05,172.270200,0.927300,0.981400,0.000000,0.000000
14300,3.724000e-05,303.804000,1.068200,1.304000,0.000000,0.000000
14400,3.698000e-05,100.304300,1.506100,0.748200,0.000000,0.000000
14500,3.673000e-05,80.493900,0.169800,0.672000,0.000000,0.000000
14600,3.648000e-05,80.259600,0.317600,0.671200,0.000000,0.000000
14700,3.622000e-05,165.366000,2.176600,0.961400,0.000000,0.000000
14800,3.597000e-05,239.933500,2.691000,1.158300,0.000000,0.000000
14900,3.573000e-05,68.164300,1.095800,0.618400,0.000000,0.000000
15000,3.548000e-05,77.430500,0.491800,0.660300,0.000000,0.000000
15100,3.524000e-05,696.967300,0.100000,1.982400,0.000000,0.000000
15200,3.499000e-05,2139.262900,0.021300,3.474600,0.000000,0.000000
15300,3.475000e-05,65.939100,0.323800,0.610200,0.000000,0.000000
15400,3.451000e-05,72.939300,1.479600,0.640200,0.000000,0.000000
15500,3.428000e-05,77.493600,0.182500,0.662100,0.000000,0.000000
15600,3.404000e-05,76.283000,0.139700,0.657200,0.000000,0.000000
15700,3.381000e-05,74.237800,0.969100,0.647800,0.000000,0.000000
15800,3.357000e-05,69.892900,0.107900,0.629600,0.000000,0.000000
15900,3.334000e-05,1570.459000,0.826200,2.985700,0.000000,0.000000
16000,3.311000e-05,87.594200,1.039700,0.704600,0.000000,0.000000
16100,3.289000e-05,80.300700,1.262200,0.674400,0.000000,0.000000
16200,3.266000e-05,140.147200,2.594800,0.888700,0.000000,0.000000
16300,3.243000e-05,77.483600,1.024700,0.663400,0.000000,0.000000
16400,3.221000e-05,84.735300,1.395000,0.693400,0.000000,0.000000
16500,3.199000e-05,362.601800,1.865800,1.437000,0.000000,0.000000
16600,3.177000e-05,60.475200,0.188700,0.587700,0.000000,0.000000
16700,3.155000e-05,93.476000,1.625600,0.728800,0.000000,0.000000
16800,3.133000e-05,69.454600,0.162600,0.630300,0.000000,0.000000
16900,3.112000e-05,64.496800,1.045200,0.606600,0.000000,0.000000
17000,3.090000e-05,325.744800,0.020000,1.366300,0.000000,0.000000
17100,3.069000e-05,54.072300,0.267000,0.556800,0.000000,0.000000
17200,3.048000e-05,104.192100,0.429000,0.773200,0.000000,0.000000
17300,3.027000e-05,112.328300,0.147600,0.803300,0.000000,0.000000
17400,3.006000e-05,125.787900,1.396000,0.849100,0.000000,0.000000
17500,2.985000e-05,123.122200,3.520700,0.832600,0.000000,0.000000
17600,2.965000e-05,266.941700,1.523600,1.238900,0.000000,0.000000
17700,2.944000e-05,69.897500,1.282100,0.633200,0.000000,0.000000
