step,lr,loss,e_rmse,f_rmse,pref_e,pref_f
40000,6.310000e-06,91.123600,0.283300,0.806600,0.430000,140.000000
40500,6.095000e-06,52.709300,0.499700,0.614600,0.434700,139.200000
41000,5.888000e-06,493.760000,0.082200,1.888100,0.439500,138.500000
41500,5.689000e-06,88.102400,0.440000,0.799300,0.444200,137.800000
42000,5.495000e-06,103.346000,0.289300,0.868400,0.449000,137.000000
42500,5.309000e-06,63.785000,0.495600,0.683600,0.453700,136.200000
43000,5.129000e-06,131.949000,0.044400,0.986800,0.458500,135.500000
43500,4.955000e-06,202.135000,0.370400,1.224600,0.463200,134.800000
44000,4.786000e-06,63.914300,0.117200,0.690600,0.468000,134.000000
44500,4.624000e-06,62.720500,0.451500,0.685500,0.472700,133.200000
45000,4.467000e-06,59.690300,0.144700,0.671100,0.477500,132.500000
45500,4.315000e-06,51.291300,0.367300,0.623500,0.482200,131.800000
46000,4.169000e-06,46.097000,0.106900,0.593200,0.487000,131.000000
46500,4.027000e-06,57.840800,0.121200,0.666300,0.491700,130.200000
47000,3.890000e-06,79.289900,0.145600,0.782400,0.496500,129.500000
47500,3.758000e-06,47.579400,0.281300,0.607700,0.501200,128.800000
48000,3.631000e-06,40.087700,0.479200,0.558800,0.506000,128.000000
48500,3.508000e-06,46.723000,0.183900,0.605800,0.510800,127.200000
49000,3.388000e-06,54.223500,0.625600,0.653500,0.515500,126.500000
49500,3.273000e-06,100.596000,0.036700,0.894400,0.520200,125.800000
50000,3.162000e-06,608.547000,0.773100,2.205900,0.525000,125.000000
50500,3.055000e-06,38.151900,0.055400,0.554100,0.529700,124.200000
51000,2.951000e-06,45.641200,0.293600,0.607600,0.534500,123.500000
51500,2.851000e-06,41.573100,0.542900,0.580800,0.539300,122.800000
52000,2.754000e-06,93.039800,0.009400,0.873300,0.544000,122.000000
52500,2.661000e-06,98.376700,0.036100,0.900700,0.548700,121.200000
53000,2.570000e-06,46.775600,0.200600,0.622900,0.553500,120.500000
53500,2.483000e-06,41.961200,0.024300,0.591900,0.558300,119.800000
54000,2.399000e-06,70.765100,0.341700,0.770800,0.563000,119.000000
54500,2.317000e-06,133.927000,0.054800,1.064200,0.567800,118.200000
55000,2.239000e-06,522.496000,0.182600,2.108700,0.572500,117.500000
55500,2.163000e-06,35.087800,0.030900,0.548200,0.577300,116.700000
56000,2.089000e-06,59.329000,0.249000,0.714900,0.582000,116.000000
56500,2.018000e-06,682.031000,0.093800,2.432700,0.586700,115.300000
57000,1.950000e-06,136.187000,0.277800,1.090400,0.591500,114.500000
57500,1.884000e-06,136.847000,0.171800,1.096800,0.596200,113.800000
58000,1.820000e-06,88.226400,0.012400,0.883600,0.601000,113.000000
58500,1.758000e-06,42.002800,0.102200,0.611700,0.605800,112.200000
59000,1.698000e-06,42.971800,0.067700,0.620800,0.610500,111.500000
59500,1.641000e-06,70.688000,0.387400,0.798400,0.615200,110.800000
60000,1.585000e-06,41.533900,0.166900,0.614300,0.620000,110.000000
60500,1.531000e-06,81.606600,0.046400,0.864300,0.624800,109.200000
61000,1.479000e-06,131.667000,0.085700,1.101600,0.629500,108.500000
61500,1.429000e-06,50.440100,0.224000,0.684000,0.634200,107.800000
62000,1.380000e-06,113.994000,0.195000,1.032100,0.639000,107.000000
62500,1.334000e-06,39.865800,0.159300,0.612400,0.643800,106.200000
63000,1.288000e-06,78.962200,0.042600,0.865100,0.648500,105.500000
63500,1.245000e-06,59.036200,0.141700,0.750600,0.653200,104.800000
64000,1.202000e-06,38.625200,0.165200,0.609300,0.658000,104.000000
64500,1.161000e-06,49.116000,0.058300,0.689700,0.662800,103.200000
65000,1.122000e-06,68.004400,0.208800,0.814400,0.667500,102.500000
65500,1.084000e-06,116.113000,0.303300,1.068000,0.672300,101.800000
66000,1.047000e-06,38.483400,0.054400,0.617300,0.677000,101.000000
66500,1.012000e-06,40.216600,0.100200,0.633300,0.681800,100.200000
67000,9.772000e-07,33.339200,0.037500,0.578800,0.686500,99.500000
67500,9.441000e-07,36.643900,0.307700,0.608600,0.691300,98.750000
68000,9.120000e-07,34.623200,0.149000,0.594300,0.696000,98.000000
68500,8.810000e-07,348.364000,0.332100,1.892400,0.700800,97.250000
69000,8.511000e-07,85.828000,0.000600,0.943100,0.705500,96.500000
69500,8.222000e-07,66.586500,0.159000,0.833800,0.710200,95.750000
70000,7.943000e-07,42.375100,0.173400,0.667700,0.715000,95.000000
70500,7.674000e-07,45.183500,0.413500,0.691400,0.719800,94.250000
71000,7.413000e-07,381.091000,0.003100,2.018900,0.724500,93.500000
71500,7.161000e-07,73.847200,0.173700,0.892200,0.729200,92.750000
72000,6.918000e-07,75.496700,0.063700,0.905900,0.734000,92.000000
72500,6.683000e-07,60.233400,0.001600,0.812500,0.738800,91.250000
73000,6.457000e-07,34.269300,0.019000,0.615400,0.743500,90.500000
73500,6.237000e-07,68.236500,0.091600,0.871900,0.748200,89.750000
74000,6.026000e-07,72.297800,0.074400,0.901300,0.753000,89.000000
74500,5.821000e-07,92.334000,0.133200,1.022800,0.757800,88.250000
75000,5.623000e-07,309.759000,0.251100,1.881400,0.762500,87.500000
75500,5.433000e-07,29.768200,0.163400,0.585600,0.767200,86.750000
76000,5.248000e-07,97.578000,0.210000,1.065000,0.772000,86.000000
76500,5.070000e-07,29.614200,0.005000,0.589400,0.776800,85.250000
77000,4.898000e-07,27.788000,0.017800,0.573500,0.781500,84.500000
77500,4.732000e-07,66.798100,0.108700,0.893000,0.786300,83.750000
78000,4.571000e-07,41.708700,0.015000,0.708900,0.791000,83.000000
78500,4.416000e-07,27.984100,0.110600,0.583200,0.795800,82.250000
79000,4.266000e-07,49.799700,0.051100,0.781700,0.800500,81.500000
79500,4.121000e-07,38.610600,0.059100,0.691500,0.805300,80.750000
80000,3.981000e-07,24.206400,0.127500,0.549900,0.810000,80.000000
80500,3.846000e-07,151.305000,0.132400,1.381700,0.814800,79.250000
81000,3.715000e-07,39.870700,0.257300,0.712200,0.819500,78.500000
81500,3.589000e-07,32.028900,0.032500,0.641800,0.824200,77.750000
82000,3.467000e-07,27.860600,0.025800,0.601500,0.829000,77.000000
82500,3.350000e-07,59.437400,0.081200,0.882900,0.833700,76.250000
83000,3.236000e-07,64.978300,0.055000,0.927700,0.838500,75.500000
83500,3.126000e-07,23.555900,0.133600,0.561200,0.843200,74.750000
84000,3.020000e-07,28.996700,0.154900,0.625800,0.848000,74.000000
84500,2.917000e-07,63.156600,0.024200,0.928500,0.852800,73.250000
85000,2.818000e-07,24.784900,0.059600,0.584700,0.857500,72.500000
