step,lr,loss,e_rmse,f_rmse,pref_e,pref_f
1,9.999000e-05,119.316000,4.933700,0.768400,0.050010,200.000000
2,9.999000e-05,147.622000,4.934600,0.855600,0.050020,200.000000
3,9.998000e-05,126.907000,4.930900,0.792800,0.050030,200.000000
4,9.997000e-05,1041.860000,4.831600,2.281100,0.050040,200.000000
5,9.997000e-05,819.123000,4.825900,2.022400,0.050050,200.000000
500,9.661000e-05,116.118000,4.455700,0.759800,0.054750,199.200000
1000,9.333000e-05,97.309100,3.705800,0.697200,0.059500,198.500000
1500,9.016000e-05,149.246000,3.630300,0.866300,0.064250,197.800000
2000,8.710000e-05,667.326000,3.070100,1.839600,0.069000,197.000000
2500,8.414000e-05,406.400000,3.228300,1.437700,0.073750,196.200000
3000,8.128000e-05,119.930000,3.036300,0.780900,0.078500,195.500000
3500,7.852000e-05,243.411000,2.939400,1.116300,0.083250,194.800000
4000,7.586000e-05,121.781000,2.847400,0.790000,0.088000,194.000000
4500,7.328000e-05,122.626000,2.646500,0.794500,0.092750,193.200000
5000,7.079000e-05,237.064000,2.428600,1.108400,0.097500,192.500000
5500,6.839000e-05,127.126000,2.684500,0.811900,0.102300,191.800000
6000,6.607000e-05,216.319000,2.474500,1.062600,0.107000,191.000000
6500,6.383000e-05,141.289000,2.406500,0.859800,0.111800,190.200000
7000,6.166000e-05,104.493000,2.122200,0.740700,0.116500,189.500000
7500,5.957000e-05,198.525000,2.121600,1.024200,0.121200,188.800000
8000,5.754000e-05,184.209000,2.411300,0.987900,0.126000,188.000000
8500,5.559000e-05,338.972000,2.410900,1.344000,0.130800,187.200000
9000,5.370000e-05,89.009200,2.251300,0.688200,0.135500,186.500000
9500,5.188000e-05,98.928400,2.154800,0.727400,0.140200,185.800000
10000,5.012000e-05,391.846000,2.456900,1.453700,0.145000,185.000000
10500,4.842000e-05,116.052000,2.027300,0.791500,0.149700,184.200000
11000,4.677000e-05,114.685000,2.303200,0.787700,0.154500,183.500000
11500,4.519000e-05,126.987000,2.246700,0.830900,0.159300,182.800000
12000,4.365000e-05,365.383000,2.174400,1.415400,0.164000,182.000000
12500,4.217000e-05,206.411000,2.279500,1.064900,0.168800,181.200000
13000,4.074000e-05,197.915000,2.616500,1.044000,0.173500,180.500000
13500,3.936000e-05,97.651200,2.933700,0.731200,0.178300,179.800000
14000,3.802000e-05,645.023000,2.362700,1.896800,0.183000,179.000000
14500,3.673000e-05,376.146000,2.439000,1.450500,0.187700,178.200000
15000,3.548000e-05,316.177000,2.598500,1.331900,0.192500,177.500000
15500,3.428000e-05,83.619200,2.620400,0.682200,0.197200,176.800000
16000,3.311000e-05,275.447000,2.534000,1.248100,0.202000,176.000000
16500,3.199000e-05,91.196700,2.686200,0.715400,0.206700,175.200000
17000,3.090000e-05,435.379000,3.192500,1.575600,0.211500,174.500000
17500,2.985000e-05,80.362300,2.610200,0.673800,0.216200,173.800000
18000,2.884000e-05,75.541000,2.728400,0.653600,0.221000,173.000000
18500,2.786000e-05,92.992200,2.472100,0.729300,0.225800,172.200000
19000,2.692000e-05,78.468700,2.542400,0.670000,0.230500,171.500000
19500,2.600000e-05,210.890000,2.399400,1.107800,0.235300,170.800000
20000,2.512000e-05,89.742100,2.406300,0.720900,0.240000,170.000000
20500,2.427000e-05,128.166000,2.398400,0.865400,0.244700,169.200000
21000,2.344000e-05,81.630200,2.675400,0.688400,0.249500,168.500000
21500,2.265000e-05,423.058000,1.951800,1.586200,0.254200,167.800000
22000,2.188000e-05,82.366900,2.319200,0.696300,0.259000,167.000000
22500,2.113000e-05,498.501000,2.188800,1.729400,0.263700,166.200000
23000,2.042000e-05,1383.880000,2.188600,2.890300,0.268500,165.500000
23500,1.972000e-05,114.879000,1.988000,0.831100,0.273200,164.800000
24000,1.905000e-05,194.539000,1.630600,1.087100,0.278000,164.000000
24500,1.841000e-05,117.374000,0.886300,0.847100,0.282800,163.200000
25000,1.778000e-05,83.874700,1.408600,0.716000,0.287500,162.500000
25500,1.718000e-05,224.156000,1.384000,1.175700,0.292300,161.800000
26000,1.660000e-05,230.003000,0.917200,1.194600,0.297000,161.000000
26500,1.603000e-05,286.648000,1.083200,1.336600,0.301700,160.200000
27000,1.549000e-05,70.482000,1.204300,0.662700,0.306500,159.500000
27500,1.496000e-05,82.785000,2.087000,0.716200,0.311200,158.800000
28000,1.445000e-05,64.462100,1.634400,0.634500,0.316000,158.000000
28500,1.396000e-05,65.444900,0.917500,0.643800,0.320700,157.200000
29000,1.349000e-05,229.489000,0.790100,1.210400,0.325500,156.500000
29500,1.303000e-05,164.449000,0.114700,1.027500,0.330200,155.800000
30000,1.259000e-05,244.375000,1.246100,1.254300,0.335000,155.000000
30500,1.216000e-05,56.014500,0.678000,0.601800,0.339700,154.200000
31000,1.175000e-05,130.403000,0.148600,0.921700,0.344500,153.500000
31500,1.135000e-05,74.403200,1.028500,0.696200,0.349200,152.800000
32000,1.096000e-05,65.518800,0.845500,0.655300,0.354000,152.000000
32500,1.059000e-05,75.285600,1.711300,0.700600,0.358700,151.200000
33000,1.023000e-05,53.047700,1.011700,0.591600,0.363500,150.500000
33500,9.886000e-06,58.801600,0.054900,0.626600,0.368200,149.800000
34000,9.550000e-06,190.560000,0.224900,1.130800,0.373000,149.000000
34500,9.226000e-06,131.566000,0.179000,0.942000,0.377700,148.200000
35000,8.913000e-06,213.565000,0.137800,1.203300,0.382500,147.500000
35500,8.610000e-06,54.869200,0.723500,0.610300,0.387200,146.800000
36000,8.318000e-06,68.662500,0.211500,0.685700,0.392000,146.000000
36500,8.035000e-06,119.525000,0.769500,0.906200,0.396700,145.200000
37000,7.762000e-06,54.809600,0.447800,0.615400,0.401500,144.500000
37500,7.499000e-06,54.206200,0.054500,0.614100,0.406200,143.800000
38000,7.244000e-06,51.388000,0.550300,0.598700,0.411000,143.000000
38500,6.998000e-06,55.701100,0.085300,0.625700,0.415700,142.200000
39000,6.761000e-06,47.637800,0.587200,0.579300,0.420500,141.500000
39500,6.531000e-06,49.986100,0.208700,0.595800,0.425200,140.800000
40000,6.310000e-06,91.123600,0.283300,0.806600,0.430000,140.000000
40500,6.095000e-06,52.709300,0.499700,0.614600,0.434700,139.200000
41000,5.888000e-06,493.760000,0.082200,1.888100,0.439500,138.500000
41500,5.689000e-06,88.102400,0.440000,0.799300,0.444200,137.800000
42000,5.495000e-06,103.346000,0.289300,0.868400,0.449000,137.000000
42500,5.309000e-06,63.785000,0.495600,0.683600,0.453700,136.200000
43000,5.129000e-06,131.949000,0.044400,0.986800,0.458500,135.500000
43500,4.955000e-06,202.135000,0.370400,1.224600,0.463200,134.800000
44000,4.786000e-06,63.914300,0.117200,0.690600,0.468000,134.000000
44500,4.624000e-06,62.720500,0.451500,0.685500,0.472700,133.200000
45000,4.467000e-06,59.690300,0.144700,0.671100,0.477500,132.500000
45500,4.315000e-06,51.291300,0.367300,0.623500,0.482200,131.800000
46000,4.169000e-06,46.097000,0.106900,0.593200,0.487000,131.000000
46500,4.027000e-06,57.840800,0.121200,0.666300,0.491700,130.200000
47000,3.890000e-06,79.289900,0.145600,0.782400,0.496500,129.500000
47500,3.758000e-06,47.579400,0.281300,0.607700,0.501200,128.800000
48000,3.631000e-06,40.087700,0.479200,0.558800,0.506000,128.000000
48500,3.508000e-06,46.723000,0.183900,0.605800,0.510800,127.200000
49000,3.388000e-06,54.223500,0.625600,0.653500,0.515500,126.500000
49500,3.273000e-06,100.596000,0.036700,0.894400,0.520200,125.800000
50000,3.162000e-06,608.547000,0.773100,2.205900,0.525000,125.000000
50500,3.055000e-06,38.151900,0.055400,0.554100,0.529700,124.200000
51000,2.951000e-06,45.641200,0.293600,0.607600,0.534500,123.500000
51500,2.851000e-06,41.573100,0.542900,0.580800,0.539300,122.800000
52000,2.754000e-06,93.039800,0.009400,0.873300,0.544000,122.000000
52500,2.661000e-06,98.376700,0.036100,0.900700,0.548700,121.200000
53000,2.570000e-06,46.775600,0.200600,0.622900,0.553500,120.500000
53500,2.483000e-06,41.961200,0.024300,0.591900,0.558300,119.800000
54000,2.399000e-06,70.765100,0.341700,0.770800,0.563000,119.000000
54500,2.317000e-06,133.927000,0.054800,1.064200,0.567800,118.200000
55000,2.239000e-06,522.496000,0.182600,2.108700,0.572500,117.500000
55500,2.163000e-06,35.087800,0.030900,0.548200,0.577300,116.700000
56000,2.089000e-06,59.329000,0.249000,0.714900,0.582000,116.000000
56500,2.018000e-06,682.031000,0.093800,2.432700,0.586700,115.300000
57000,1.950000e-06,136.187000,0.277800,1.090400,0.591500,114.500000
