step,lr,loss,e_rmse,f_rmse,pref_e,pref_f
1,9.980000e-04,1269.273300,4.880100,1.126400,0.000000,0.000000
2,9.959000e-04,4620.752000,4.809900,2.149500,0.000000,0.000000
3,9.939000e-04,737.537800,4.979100,0.858500,0.000000,0.000000
4,9.918000e-04,718.776000,5.010700,0.847500,0.000000,0.000000
5,9.898000e-04,647.114400,5.310000,0.804100,0.000000,0.000000
100,8.145000e-04,889.048400,3.747500,0.943200,0.000000,0.000000
200,6.635000e-04,641.382600,5.304100,0.801300,0.000000,0.000000
300,5.404000e-04,744.365600,5.282200,0.863700,0.000000,0.000000
400,4.402000e-04,588.096300,6.559000,0.767700,0.000000,0.000000
500,3.585000e-04,1162.365200,7.521300,1.080200,0.000000,0.000000
600,2.920000e-04,717.085700,7.822900,0.848400,0.000000,0.000000
700,2.379000e-04,1176.819300,7.646500,1.087900,0.000000,0.000000
800,1.938000e-04,929.527000,7.424500,0.967200,0.000000,0.000000
900,1.578000e-04,687.616100,7.589900,0.832000,0.000000,0.000000
1000,1.285000e-04,555.609600,7.276000,0.748100,0.000000,0.000000
1100,1.047000e-04,2657.173800,7.400700,1.638600,0.000000,0.000000
1200,8.529000e-05,356.459100,7.512200,0.599100,0.000000,0.000000
1300,6.947000e-05,1418.385300,7.254400,1.198000,0.000000,0.000000
1400,5.658000e-05,421.849800,7.220100,0.652700,0.000000,0.000000
1500,4.609000e-05,2475.033400,7.194600,1.584600,0.000000,0.000000
1600,3.754000e-05,618.671800,7.141300,0.791800,0.000000,0.000000
1700,3.058000e-05,547.198200,7.274000,0.744800,0.000000,0.000000
1800,2.491000e-05,2133.462400,7.152800,1.473300,0.000000,0.000000
1900,2.029000e-05,740.949900,7.269600,0.867900,0.000000,0.000000
2000,1.652000e-05,383.505100,7.226500,0.623900,0.000000,0.000000
2100,1.346000e-05,526.411600,7.296300,0.731800,0.000000,0.000000
2200,1.096000e-05,416.219200,7.244800,0.650600,0.000000,0.000000
2300,8.930000e-06,705.336300,7.156800,0.848300,0.000000,0.000000
2400,7.274000e-06,667.396100,7.172400,0.825500,0.000000,0.000000
2500,5.925000e-06,1249.126500,7.242900,1.130800,0.000000,0.000000
2600,4.826000e-06,2451.829800,7.221800,1.585800,0.000000,0.000000
2700,3.931000e-06,2217.184100,7.214400,1.508700,0.000000,0.000000
2800,3.202000e-06,438.953100,7.239600,0.670100,0.000000,0.000000
2900,2.608000e-06,456.508200,7.219500,0.683800,0.000000,0.000000
3000,2.124000e-06,573.845400,7.230400,0.767400,0.000000,0.000000
3100,1.730000e-06,464.356000,7.220600,0.690300,0.000000,0.000000
3200,1.409000e-06,426.829500,7.215800,0.661900,0.000000,0.000000
3300,1.148000e-06,770.883300,7.177400,0.891300,0.000000,0.000000
3400,9.350000e-07,404.341700,7.234800,0.644700,0.000000,0.000000
3500,7.616000e-07,417.689800,7.212200,0.655700,0.000000,0.000000
3600,6.203000e-07,508.535500,7.249000,0.724200,0.000000,0.000000
3700,5.053000e-07,462.289400,7.223100,0.690600,0.000000,0.000000
3800,4.116000e-07,417.593500,7.211400,0.656500,0.000000,0.000000
3900,3.352000e-07,934.555400,7.229900,0.984500,0.000000,0.000000
4000,2.731000e-07,443.022200,7.212100,0.676900,0.000000,0.000000
4100,2.224000e-07,665.565900,7.220500,0.831100,0.000000,0.000000
4200,1.812000e-07,426.768000,7.216800,0.664900,0.000000,0.000000
4300,1.476000e-07,563.449900,7.196300,0.765100,0.000000,0.000000
4400,1.202000e-07,976.434200,7.231900,1.008900,0.000000,0.000000
4500,9.790000e-08,451.619800,7.229600,0.685100,0.000000,0.000000
4600,7.974000e-08,762.515900,7.211800,0.892000,0.000000,0.000000
4700,6.495000e-08,665.865100,7.202600,0.833700,0.000000,0.000000
4800,5.290000e-08,449.323800,7.208400,0.684300,0.000000,0.000000
4900,4.309000e-08,441.355700,7.239400,0.678500,0.000000,0.000000
5000,3.510000e-08,754.961700,7.170000,0.889300,0.000000,0.000000
5100,3.510000e-08,363.013200,7.231900,0.615300,0.000000,0.000000
5200,3.510000e-08,555.513500,7.224000,0.762900,0.000000,0.000000
5300,3.510000e-08,439.826400,7.221300,0.678600,0.000000,0.000000
5400,3.510000e-08,684.873400,7.233600,0.848500,0.000000,0.000000
5500,3.510000e-08,442.047600,7.219600,0.680900,0.000000,0.000000
5600,3.510000e-08,1011.704500,7.253100,1.033200,0.000000,0.000000
5700,3.510000e-08,470.902000,7.208800,0.703700,0.000000,0.000000
5800,3.510000e-08,495.053600,7.197000,0.722000,0.000000,0.000000
5900,3.510000e-08,516.700300,7.231700,0.738100,0.000000,0.000000
6000,3.510000e-08,530.984300,7.215500,0.748600,0.000000,0.000000
6100,3.510000e-08,449.657000,7.213600,0.688800,0.000000,0.000000
6200,3.510000e-08,2211.537400,7.172000,1.534000,0.000000,0.000000
6300,3.510000e-08,1212.260400,7.202100,1.135400,0.000000,0.000000
6400,3.510000e-08,1002.101900,7.186100,1.032500,0.000000,0.000000
6500,3.510000e-08,381.026800,7.223200,0.634700,0.000000,0.000000
6600,3.510000e-08,1292.470300,7.193300,1.174300,0.000000,0.000000
6700,3.510000e-08,2196.842800,7.170900,1.532900,0.000000,0.000000
6800,3.510000e-08,547.213000,7.212900,0.763100,0.000000,0.000000
6900,3.510000e-08,902.622200,7.203300,0.982100,0.000000,0.000000
7000,3.510000e-08,982.867800,7.207800,1.025600,0.000000,0.000000
7100,3.510000e-08,445.846100,7.225000,0.689100,0.000000,0.000000
7200,3.510000e-08,539.249800,7.202700,0.758900,0.000000,0.000000
7300,3.510000e-08,552.343900,7.214400,0.768500,0.000000,0.000000
7400,3.510000e-08,427.813400,7.222100,0.675800,0.000000,0.000000
7500,3.510000e-08,497.394000,7.214400,0.729700,0.000000,0.000000
7600,3.510000e-08,1852.280400,7.186700,1.413900,0.000000,0.000000
7700,3.510000e-08,456.052200,7.212900,0.699100,0.000000,0.000000
7800,3.510000e-08,1450.984000,7.182800,1.252300,0.000000,0.000000
7900,3.510000e-08,491.437700,7.205800,0.726700,0.000000,0.000000
8000,3.510000e-08,626.743200,7.238600,0.821900,0.000000,0.000000
8100,3.510000e-08,937.520700,7.201400,1.007200,0.000000,0.000000
8200,3.510000e-08,704.892000,7.235300,0.873000,0.000000,0.000000
8300,3.510000e-08,507.522900,7.213800,0.740000,0.000000,0.000000
8400,3.510000e-08,333.470300,7.218200,0.598500,0.000000,0.000000
8500,3.510000e-08,674.437600,7.204100,0.855100,0.000000,0.000000
8600,3.510000e-08,964.918600,7.189400,1.024600,0.000000,0.000000
8700,3.510000e-08,419.935500,7.220600,0.673700,0.000000,0.000000
8800,3.510000e-08,432.611000,7.217800,0.684300,0.000000,0.000000
8900,3.510000e-08,995.703600,7.205900,1.042500,0.000000,0.000000
