step,lr,e_loss,f_loss,f_rmse,pref_f
1,9.998000e-05,8.753340e+05,7.160100e-01,8.462000e-01,1.000000e+02
2,9.995000e-05,8.411200e+05,5.161760e+00,2.272000e+00,1.000000e+02
3,9.993000e-05,8.745630e+05,7.737160e-01,8.796000e-01,1.000000e+02
4,9.991000e-05,8.614480e+05,4.006310e+00,2.001600e+00,1.000000e+02
5,9.988000e-05,8.681390e+05,7.444110e-01,8.628000e-01,1.000000e+02
6,9.986000e-05,8.617130e+05,4.928440e-01,7.020000e-01,1.000000e+02
7,9.984000e-05,8.497260e+05,1.767510e+00,1.329500e+00,9.999000e+01
8,9.982000e-05,8.679220e+05,1.016250e+00,1.008100e+00,9.999000e+01
9,9.979000e-05,8.256480e+05,5.436110e+00,2.331500e+00,9.999000e+01
10,9.977000e-05,8.551640e+05,7.704870e-01,8.778000e-01,9.999000e+01
11,9.975000e-05,8.584420e+05,5.626090e-01,7.501000e-01,9.999000e+01
12,9.972000e-05,8.568320e+05,6.091820e-01,7.805000e-01,9.999000e+01
13,9.970000e-05,8.520610e+05,5.086150e-01,7.132000e-01,9.999000e+01
14,9.968000e-05,8.410900e+05,6.958390e-01,8.342000e-01,9.999000e+01
15,9.966000e-05,8.498490e+05,1.009860e+00,1.004900e+00,9.999000e+01
16,9.963000e-05,8.466730e+05,1.067410e+00,1.033200e+00,9.999000e+01
17,9.961000e-05,8.333790e+05,7.240640e-01,8.509000e-01,9.999000e+01
18,9.959000e-05,8.239970e+05,4.167490e+00,2.041400e+00,9.999000e+01
19,9.956000e-05,8.138980e+05,3.936790e+00,1.984100e+00,9.998000e+01
20,9.954000e-05,8.037100e+05,5.551010e+00,2.356100e+00,9.998000e+01
21,9.952000e-05,8.103120e+05,2.106500e+00,1.451400e+00,9.998000e+01
22,9.949000e-05,8.244440e+05,4.978380e-01,7.056000e-01,9.998000e+01
23,9.947000e-05,8.225040e+05,8.798950e-01,9.380000e-01,9.998000e+01
24,9.945000e-05,8.155930e+05,4.008850e+00,2.002200e+00,9.998000e+01
25,9.943000e-05,8.005790e+05,1.515260e+00,1.231000e+00,9.998000e+01
26,9.940000e-05,8.144620e+05,6.889450e-01,8.300000e-01,9.998000e+01
27,9.938000e-05,8.184640e+05,7.558010e-01,8.694000e-01,9.998000e+01
28,9.936000e-05,8.201880e+05,4.750510e-01,6.892000e-01,9.998000e+01
29,9.933000e-05,8.031840e+05,5.909580e-01,7.687000e-01,9.998000e+01
30,9.931000e-05,8.005110e+05,6.102870e-01,7.812000e-01,9.998000e+01
31,9.929000e-05,8.001100e+05,8.470970e-01,9.204000e-01,9.998000e+01
32,9.927000e-05,7.720190e+05,4.970900e+00,2.229600e+00,9.997000e+01
33,9.924000e-05,7.922880e+05,8.776160e-01,9.368000e-01,9.997000e+01
34,9.922000e-05,7.838770e+05,8.063160e-01,8.980000e-01,9.997000e+01
35,9.920000e-05,7.930900e+05,5.104080e-01,7.144000e-01,9.997000e+01
36,9.917000e-05,7.877970e+05,6.270020e-01,7.918000e-01,9.997000e+01
