lr,loss,e_loss,f_loss,pref_e,pref_f,diff,step,f_loss_rm,e_loss_rm
0.0007499,733.762,31.2225,0.751132,0.0445,975.0,0.0,50,0.751132,31.2225
0.0007499,3953.11,1061.23,4.00593,0.0445,975.0,0.0,50,2.378531,546.22625
0.0005623,607.492,37.3513,0.636719,0.069,950.0,0.0,100,1.7979270000000003,376.60126666666673
0.0005623,688.898,333.018,0.700932,0.069,950.0,0.0,100,1.5236782500000001,365.70545000000004
0.0004217,345.82,72.6917,0.366482,0.0935,925.1,0.0,150,1.292239,307.1027
0.0004217,587.925,68.6165,0.628608,0.0935,925.1,0.0,150,1.2677342,314.5815
0.0003162,1213.17,203.337,1.32116,0.118,900.1,0.0,200,0.7307802,143.0029
0.0003162,650.448,77.1597,0.712525,0.118,900.1,0.0,200,0.7459414,150.96457999999998
0.0002371,1621.36,349.346,1.79584,0.1425,875.1,0.0,250,0.964923,154.23018
0.0001778,529.79,228.633,0.578261,0.167,850.1,0.0,300,1.0072788000000001,185.41844
0.0001334,517.497,0.820515,0.626945,0.1915,825.2,0.0,350,1.0069461999999998,171.859243
0.0001,507.34,0.56067,0.633865,0.216,800.2,0.0,400,0.8694872,131.303977
7.499e-05,809.691,131.644,1.00362,0.2405,775.2,0.0,450,0.9277062,142.200837
5.623e-05,649.06,28.8565,0.854933,0.265,750.2,0.0,500,0.7395248,78.102937
4.217e-05,365.414,28.064,0.492626,0.2895,725.3,0.0,550,0.7223978,37.989137
3.162e-05,491.071,9.11094,0.697144,0.314,700.3,0.0,600,0.7364376,39.647222
2.371e-05,1002.5,9.29647,1.47981,0.3385,675.3,0.0,650,0.9056266000000001,41.394382
1.778e-05,546.808,1.6015,0.839897,0.363,650.4,0.0,700,0.872882,15.385882
1.334e-05,306.201,20.2149,0.477102,0.3875,625.4,0.0,750,0.7973158,13.657562000000002
1e-05,353.509,0.489334,0.588454,0.412,600.4,0.0,800,0.8164814,8.1426288
7.499e-06,3110.62,264.95,5.2048,0.4365,575.4,0.0,850,1.7180126000000002,59.3104408
5.623e-06,445.238,5.9712,0.803862,0.461,550.5,0.0,900,1.5828229999999999,58.645386800000004
4.217e-06,369.596,6.75353,0.697116,0.4855,525.5,0.0,950,1.5542668000000002,59.67579280000001
3.162e-06,250.635,10.0426,0.490536,0.51,500.5,0.0,1000,1.5569536000000002,57.64133280000001
2.371e-06,239.704,3.55142,0.50009,0.5345,475.5,0.0,1050,1.5392808,58.253750000000004
1.778e-06,276.787,6.55578,0.606198,0.559,450.5,0.0,1100,0.6195604000000001,6.574906
1.334e-06,230.633,4.02911,0.536407,0.5835,425.6,0.0,1150,0.5660694000000002,6.186488
1e-06,732.756,20.8047,1.79757,0.608,400.6,0.0,1200,0.7861602000000001,8.996722
7.499e-07,255.254,6.54609,0.668523,0.6325,375.6,0.0,1250,0.8217576000000001,8.29742
5.623e-07,588.36,26.0752,1.62906,0.657,350.6,0.0,1300,1.0475516,12.802176
4.217e-07,1807.08,280.041,4.96273,0.6815,325.7,0.0,1350,1.9188580000000002,67.49922000000001
3.162e-07,201.767,0.166281,0.6706,0.706,300.7,0.0,1400,1.9456965999999998,66.72665420000001
2.371e-07,233.045,3.28693,0.8365,0.7305,275.7,0.0,1450,1.7534826000000003,63.2231002
1.778e-07,726.041,89.6064,2.62568,0.755,250.8,0.0,1500,2.144914,79.83516219999998
1.334e-07,751.669,100.057,2.98383,0.7795,225.8,0.0,1550,2.4158680000000006,94.63152219999999
1e-07,128.783,22.8568,0.549832,0.804,200.8,0.0,1600,1.5332884000000002,43.1946822
7.499e-08,131.241,15.5626,0.673098,0.8285,175.8,0.0,1650,1.5337880000000002,46.273946
5.623e-08,104.042,20.0309,0.576441,0.853,150.9,0.0,1700,1.4817762,49.62274
4.217e-08,93.9985,7.57896,0.693926,0.8775,125.9,0.0,1750,1.0954254000000003,33.217252
3.162e-08,71.3863,0.0294572,0.707232,0.902,100.9,0.0,1800,0.6401058000000002,13.211743440000001
2.371e-08,76.104,24.5903,0.702286,0.9265,75.92,0.0,1850,0.6705966000000002,13.55844344
1.778e-08,302.456,142.31,3.28006,0.951,50.95,0.0,1900,1.1919890000000002,38.907923440000005
1.334e-08,20.4967,2.09158,0.710543,0.9755,25.98,0.0,1950,1.2188094000000003,35.32005944
1e-08,5.96284,4.68211,1.28073,1.0,1.0,0.0,2000,1.3361702000000002,34.74068944
